,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
12180,12180,Opel Insignia,Sedans,21365,VAT deductible,,103.0,New,Manual,,other_fuel,136.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Multi-function steering wheel,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'On-board computer', 'Radio', 'Sound system']","['Alloy wheels', 'Catalytic Converter']","['Central door lock with remote control', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.7,4.9,136.0,Cloth
12193,12193,Opel Insignia,Sedans,20900,,15504.0,100.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
12194,12194,Opel Insignia,Sedans,20900,,15504.0,100.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
12211,12211,Opel Insignia,Sedans,20300,VAT deductible,17724.0,103.0,Used,Manual,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'On-board computer']",['Alloy wheels'],"['Central door lock', 'Fog lights', 'Isofix']",,1.0,No,12.0,,,,,Cloth
12250,12250,Opel Insignia,Sedans,20000,,15541.0,100.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
12251,12251,Opel Insignia,Sedans,20000,,15541.0,100.0,Used,Manual,,Benzine,,,,,,6.0,1.0,No,12.0,,,,,
12352,12352,Opel Insignia,Station wagon,19970,VAT deductible,29815.0,121.0,Used,Manual,,other_fuel,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Electric tailgate,Heated steering wheel,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","['Bluetooth', 'Hands-free equipment', 'Radio', 'USB']","['Alloy wheels', 'Roof rack', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Fog lights', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,,,,,Part leather
12367,12367,Opel Insignia,Sedans,19902,VAT deductible,,103.0,New,Manual,,other_fuel,126.0,,,,,,,No,,5.0,7.0,4.6,126.0,
12701,12701,Opel Insignia,Sedans,25864,VAT deductible,,120.0,New,Automatic,,other_fuel,139.0,"Air conditioning,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Keyless central door lock,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats', 'Touch screen']","['ABS', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.6,5.2,139.0,Part leather
12730,12730,Opel Insignia,Sedans,26668,VAT deductible,,120.0,New,Automatic,,other_fuel,139.0,"Air conditioning,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Heated steering wheel,Hill Holder,Keyless central door lock,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","['Bluetooth', 'Digital radio', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats', 'Touch screen']","['ABS', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Emergency brake assistant', 'Emergency system', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Traffic sign recognition']",6.0,,No,,6.0,7.6,5.2,139.0,Part leather
