,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
15285,15285,Renault Espace,Van,28465,VAT deductible,11.0,118.0,New,Manual,,Benzine,135.0,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Lumbar support,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'Radio', 'USB']",['Alloy wheels'],"['ABS', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",6.0,,No,,5.0,5.7,4.8,135.0,Cloth
15290,15290,Renault Espace,Van,28465,VAT deductible,11.0,118.0,New,Manual,,Benzine,135.0,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Lumbar support,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'Radio', 'USB']",['Alloy wheels'],"['ABS', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",6.0,,No,,5.0,5.7,4.8,135.0,Cloth
15303,15303,Renault Espace,Other,32900,,19600.0,,Used,Manual,,Benzine,,"Air conditioning,Automatic climate control,Electrical side mirrors",,,,,3.0,No,12.0,,,,,
15347,15347,Renault Espace,Van,27900,VAT deductible,13002.0,,Used,Automatic,,Benzine,,"Cruise control,Power windows",,['Alloy wheels'],"['ABS', 'Driver-side airbag', 'Passenger-side airbag', 'Side airbag', 'Traction control']",,2.0,No,12.0,4.0,,,,
15385,15385,Renault Espace,Van,23900,,35276.0,118.0,Used,Automatic,,Benzine,,Sunroof,,,,,2.0,No,,,,,,
15438,15438,Renault Espace,Van,32990,VAT deductible,13495.0,,Used,Automatic,,Benzine,,,,,,,1.0,No,12.0,4.0,,,,
15439,15439,Renault Espace,Van,32990,VAT deductible,16571.0,,Used,Automatic,,Benzine,,,,,,,1.0,No,12.0,4.0,,,,
15461,15461,Renault Espace,Van,32990,VAT deductible,19000.0,,Used,Automatic,,Benzine,,Sunroof,,,,,1.0,No,12.0,4.0,,,,
15462,15462,Renault Espace,Van,32990,VAT deductible,25102.0,,Used,Automatic,,Benzine,,,,,,,2.0,No,12.0,4.0,,,,
15463,15463,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15464,15464,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15467,15467,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15468,15468,Renault Espace,Van,32900,VAT deductible,15824.0,,Used,Automatic,,Benzine,,,,,,,1.0,No,12.0,4.0,,,,
15472,15472,Renault Espace,Van,32935,,9350.0,,Used,Automatic,,Benzine,,"Air conditioning,Automatic climate control",,['Alloy wheels'],"['ABS', 'Electronic stability control']",,1.0,No,,,,,,
15475,15475,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15477,15477,Renault Espace,Van,32900,VAT deductible,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system camera,Power windows,Rain sensor,Start-stop system","['Bluetooth', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']",['Alloy wheels'],"['ABS', 'Adaptive headlights', 'Alarm system', 'Blind spot monitor', 'Central door lock', 'Daytime running lights', 'Electronic stability control', 'Fog lights', 'Isofix', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Traffic sign recognition']",6.0,2.0,No,,,,,,Full leather
15478,15478,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15495,15495,Renault Espace,Van,32900,,1.0,118.0,Pre-registered,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15496,15496,Renault Espace,Van,32310,,16660.0,,Used,Automatic,,Benzine,,"Air conditioning,Automatic climate control",,['Alloy wheels'],"['ABS', 'Electronic stability control']",,1.0,No,,,,,,
15546,15546,Renault Espace,Van,30900,VAT deductible,850.0,,Used,Automatic,,other_fuel,,,,,,,1.0,No,12.0,6.0,,,,
15573,15573,Renault Espace,Van,31900,,22000.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Light sensor,Start-stop system","['MP3', 'Radio', 'USB']",['Alloy wheels'],"['ABS', 'Daytime running lights', 'Driver-side airbag', 'Fog lights', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,Full leather
15574,15574,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15575,15575,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15576,15576,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15577,15577,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15578,15578,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15579,15579,Renault Espace,Van,31900,,1.0,118.0,Pre-registered,Automatic,160.0,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,0.0,No,,,,,,
15623,15623,Renault Espace,Van,28500,,22801.0,,Used,Automatic,,Benzine,,"Cruise control,Power windows",,['Alloy wheels'],"['ABS', 'Driver-side airbag', 'Passenger-side airbag', 'Side airbag', 'Traction control']",,2.0,No,12.0,4.0,,,,
15657,15657,Renault Espace,Van,34985,VAT deductible,120.0,118.0,Used,Automatic,,Benzine,123.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically adjustable seats,Electrical side mirrors,Electric tailgate,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Lumbar support,Massage seats,Multi-function steering wheel,Navigation system,Panorama roof,Park Distance Control,Parking assist system camera,Parking assist system self-steering,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system,Sunroof","['Bluetooth', 'Digital radio', 'Hands-free equipment', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Sport seats', 'Touch screen', 'Voice Control']","['ABS', 'Adaptive headlights', 'Blind spot monitor', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Isofix', 'Lane departure warning system', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,1.0,No,,4.0,5.1,4.4,123.0,Full leather
15743,15743,Renault Espace,Van,34990,,7900.0,165.0,Used,Automatic,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control,Navigation system,Power windows,Sunroof",,,['Power steering'],,1.0,No,12.0,,,,,
15758,15758,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
15760,15760,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
15761,15761,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
15762,15762,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
15778,15778,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
15785,15785,Renault Espace,Coupe,34140,VAT deductible,10.0,165.0,New,Automatic,,other_fuel,,Park Distance Control,,,"['Driver-side airbag', 'Passenger-side airbag', 'Side airbag']",,,No,,,,,,
15791,15791,Renault Espace,Van,33990,VAT deductible,10803.0,,Used,Automatic,,Benzine,,,,,,,1.0,No,12.0,4.0,,,,
15795,15795,Renault Espace,Van,34200,,1.0,118.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Park Distance Control,Parking assist system self-steering,Start-stop system","['Radio', 'USB']",['Alloy wheels'],"['ABS', 'Isofix', 'Power steering', 'Side airbag']",6.0,1.0,No,,,,,,
